Compound	Modifier	Head	FreqComp	FreqMod	FreqHead	ProdMod	ProdHead	AmbMod	AmbHead
Kopfstand	Kopf	Stand	2909	1654493	846433	100	195	6	6
Kräfteverhältnis	Kraft	Verhältnis	12726	1536799	867130	88	142	3	3
Kraftquelle	Kraft	Quelle	6387	1536799	777720	88	103	3	3
Kraftwerk	Kraft	Werk	115014	1536799	1354148	88	366	3	6
Krampfanfall	Krampf	Anfall	4632	33937	57528	6	28	1	2
Kraterrand	Krater	Rand	3195	27738	523473	6	98	2	2
Kreuzzug	Kreuz	Zug	30730	329104	1036257	71	200	6	11
Kriegsspiel	Krieg	Spiel	3253	1158614	4122168	372	403	1	6
Kriegszug	Krieg	Zug	3495	1158614	1036257	372	200	1	11
Krippenspiel	Krippe	Spiel	5071	43393	4122168	20	403	3	6
Kriterienkatalog	Kriterium	Katalog	6015	381125	185405	2	92	1	2
Kritikfähigkeit	Kritik	Fähigkeit	4855	787355	691050	13	155	2	2
Krustentier	Kruste	Tier	2343	17099	1797169	2	114	1	1
Kürbissuppe	Kürbis	Suppe	2277	29808	103341	16	62	2	1
Kutschfahrt	Kutsche	Fahrt	5658	33751	677356	13	205	1	2
Ladenfläche	Laden	Fläche	2489	431591	565210	51	222	3	2
Ländersache	Land	Sache	3458	4274663	2658027	660	95	7	2
Länderspiel	Land	Spiel	23534	4274663	4122168	660	403	7	6
Lärmquelle	Lärm	Quelle	2364	121869	777720	50	103	1	3
Landarbeiter	Land	Arbeiter	6821	4274663	256243	660	137	7	2
Landeschef	Land	Chef	2955	4274663	394992	660	283	7	1
Landfläche	Land	Fläche	5356	4274663	565210	660	222	7	2
Lastzug	Last	Zug	3010	320944	1036257	31	200	2	11
Laternenpfahl	Laterne	Pfahl	2076	39993	16620	11	10	1	1
Latzhose	Latz	Hose	3296	5324	273665	1	61	2	1
Lebensfähigkeit	Leben	Fähigkeit	2624	5064831	691050	325	155	3	2
Lebensfreude	Leben	Freude	55936	5064831	897654	325	65	3	1
Lebensphase	Leben	Phase	21428	5064831	504204	325	136	3	1
Lebensprozess	Leben	Prozess	3575	5064831	894542	325	193	3	3
Lebensverhältnis	Leben	Verhältnis	23341	5064831	867130	325	142	3	3
Lederhose	Leder	Hose	11687	140594	273665	113	61	1	1
Lehrermangel	Lehrer	Mangel	3314	795474	382072	84	129	2	4
Leibgarde	Leib	Garde	3157	223713	62262	39	43	2	1
Leidensfähigkeit	Leiden	Fähigkeit	3108	175053	691050	29	155	2	2
Leinöl	Lein	Öl	8812	3695	435551	10	54	1	4
Leistungsfähigkeit	Leistung	Fähigkeit	143157	1834791	691050	201	155	4	2
Leistungsstand	Leistung	Stand	9312	1834791	846433	201	195	4	6
Leistungsverhältnis	Leistung	Verhältnis	24430	1834791	867130	201	142	4	3
Leitungswasser	Leitung	Wasser	28701	581769	2297829	64	124	4	4
Leserbrief	Leser	Brief	44377	749234	578057	38	96	1	1
Lichterkette	Licht	Kette	12779	1203764	207479	196	139	1	4
Lichtquelle	Licht	Quelle	29589	1203764	777720	196	103	1	3
Lichtspiel	Licht	Spiel	5030	1203764	4122168	196	403	1	6
Lichtverhältnis	Licht	Verhältnis	23632	1203764	867130	196	142	1	3
Liebesspiel	Liebe	Spiel	5478	1537130	4122168	182	403	1	6
Lieblingsspiel	Liebling	Spiel	5991	84703	4122168	190	403	1	6
Ligaspiel	Liga	Spiel	9696	402297	4122168	19	403	2	6
Lokführer	Lok	Führer	24365	122599	173872	7	234	1	3
Luftzug	Luft	Zug	6993	948120	1036257	174	200	2	11
Machtspiel	Macht	Spiel	4408	806162	4122168	169	403	2	6
Machtverhältnis	Macht	Verhältnis	15621	806162	867130	169	142	2	3
Männersache	Mann	Sache	2910	3851499	2658027	328	95	3	2
Magnesiummangel	Magnesium	Mangel	2234	37559	382072	2	129	1	4
Mandelbaum	Mandel	Baum	2256	40909	706695	12	135	2	2
Mannschaftsführer	Mannschaft	Führer	10031	1362476	173872	78	234	1	3
Mannschaftsspiel	Mannschaft	Spiel	2484	1362476	4122168	78	403	1	6
Marktführer	Markt	Führer	51625	1404146	173872	265	234	4	3
Marktstand	Markt	Stand	7380	1404146	846433	265	195	4	6
Maschendraht	Masche	Draht	2691	49791	93316	6	19	2	2
Mauerwerk	Mauer	Werk	29454	270732	1354148	97	366	1	6
Meerwasser	Meer	Wasser	19591	583508	2297829	123	124	2	4
Mehrheitsbeschluss	Mehrheit	Beschluss	4409	448176	396985	62	113	1	2
Mehrheitsgesellschaft	Mehrheit	Gesellschaft	7102	448176	1682398	62	355	1	4
Mehrheitsverhältnis	Mehrheit	Verhältnis	5803	448176	867130	62	142	1	3
Meinungsführer	Meinung	Führer	3342	2286312	173872	49	234	1	3
Meisterschaftsspiel	Meisterschaft	Spiel	9686	232863	4122168	47	403	2	6
Meisterwerk	Meister	Werk	74045	453069	1354148	80	366	3	6
Menschenkette	Mensch	Kette	6383	8884087	207479	191	139	1	4
Menschenverstand	Mensch	Verstand	35969	8884087	184740	191	12	1	1
Menschenwerk	Mensch	Werk	2039	8884087	1354148	191	366	1	6
Messestand	Messe	Stand	26763	278787	846433	118	195	5	6
Militäraktion	Militär	Aktion	4595	161300	1037198	386	202	2	1
Minenarbeiter	Mine	Arbeiter	2773	64518	256243	37	137	3	2
Mineralquelle	Mineral	Quelle	3037	66853	777720	25	103	2	3
Mineralwasser	Mineral	Wasser	36209	66853	2297829	25	124	2	4
Mitgliederstand	Mitglied	Stand	2114	2118702	846433	120	195	2	6
Mondphase	Mond	Phase	4962	240422	504204	55	136	2	1
Mordkommission	Mord	Kommission	4482	211566	271576	103	187	1	2
Moskitonetz	Moskito	Netz	6267	9036	777160	1	145	1	3
Mundwerk	Mund	Werk	4976	420973	1354148	38	366	2	6
Murmeltier	Murmel	Tier	8680	5350	1797169	3	114	1	1
Musiklandschaft	Musik	Landschaft	2360	1793797	489315	344	211	2	1
Musikwerk	Musik	Werk	2548	1793797	1354148	344	366	2	6
Musterbrief	Muster	Brief	4773	234725	578057	99	96	4	1
Musterprozess	Muster	Prozess	2138	234725	894542	99	193	4	3
Muttermund	Mutter	Mund	5961	1652913	420973	109	23	3	2
Nachtzug	Nacht	Zug	6371	1358490	1036257	178	200	1	11
Nahrungskette	Nahrung	Kette	9960	224153	207479	33	139	1	4
Nahrungsmangel	Nahrung	Mangel	2276	224153	382072	33	129	1	4
Nahrungsquelle	Nahrung	Quelle	7080	224153	777720	33	103	1	3
Navigationsgerät	Navigation	Gerät	5082	88332	1361396	11	151	1	3
Netzwerk	Netz	Werk	583521	777160	1354148	58	366	3	6
Nordrand	Nord	Rand	4558	184264	523473	168	98	1	2
Nordstrand	Nord	Strand	3541	184264	446095	168	25	1	1
Notarkammer	Notar	Kammer	2985	52826	147589	12	113	1	3
Notstand	Not	Stand	12525	355789	846433	130	195	3	6
Nudelsalat	Nudel	Salat	3721	64322	129361	27	53	1	2
Nudelsuppe	Nudel	Suppe	3078	64322	103341	27	62	1	1
Öllampe	Öl	Lampe	3763	435551	185507	249	42	4	1
Ölquelle	Öl	Quelle	3859	435551	777720	249	103	4	3
Ölstand	Öl	Stand	6058	435551	846433	249	195	4	6
Obstsaft	Obst	Saft	2002	185837	103159	62	43	1	2
Oppositionsführer	Opposition	Führer	5087	145471	173872	88	234	6	3
Orgelspiel	Orgel	Spiel	3249	96475	4122168	55	403	1	6
Ortsrand	Ort	Rand	16841	2155694	523473	160	98	2	2
Ostrand	Ost	Rand	2512	153579	523473	324	98	1	2
Parteichef	Partei	Chef	11851	1138922	394992	488	283	3	1
Parteiführer	Partei	Führer	2459	1138922	173872	488	234	3	3
Passionsspiel	Passion	Spiel	2527	34740	4122168	24	403	2	6
Passspiel	Pass	Spiel	7362	224607	4122168	41	403	3	6
Pastellton	Pastell	Ton	2923	4808	485655	8	112	1	6
Pausenstand	Pause	Stand	6276	534485	846433	54	195	2	6
Pegelstand	Pegel	Stand	4216	33323	846433	3	195	1	6
Perlenkette	Perle	Kette	5897	37928	207479	11	139	1	4
Personalchef	Personal	Chef	9790	336623	394992	175	283	1	1
Personalmangel	Personal	Mangel	6503	336623	382072	175	129	1	4
Personenzug	Person	Zug	6115	2543851	1036257	71	200	2	11
Perspektivenwechsel	Perspektive	Wechsel	5423	468445	408375	4	207	3	5
Petroleumlampe	Petroleum	Lampe	2225	8044	185507	3	42	1	1
Pferdewagen	Pferd	Wagen	3193	951662	505552	126	205	3	4
Pflichtspiel	Pflicht	Spiel	12291	417087	4122168	68	403	2	6
Pilotphase	Pilot	Phase	6133	189162	504204	51	136	1	1
Pinienwald	Pinie	Wald	3022	6227	842206	7	163	1	1
Plakataktion	Plakat	Aktion	3155	151560	1037198	36	202	1	1
Platzmangel	Platz	Mangel	10393	3091731	382072	87	129	5	4
Platzverhältnis	Platz	Verhältnis	10638	3091731	867130	87	142	5	3
Poesiealbum	Poesie	Album	2235	53398	860518	2	16	2	2
Pokalspiel	Pokal	Spiel	16351	108761	4122168	48	403	2	6
Pokerspiel	Poker	Spiel	2573	26025	4122168	11	403	1	6
Polizeichef	Polizei	Chef	9486	853593	394992	382	283	2	1
Pollenflug	Pollen	Flug	2834	28725	381027	9	101	1	2
Porenbeton	Pore	Beton	2177	25331	74653	1	10	1	1
Präsentkorb	Präsent	Korb	2691	22752	83195	1	43	1	4
Präsenzphase	Präsenz	Phase	2346	116319	504204	12	136	2	1
Praxisphase	Praxis	Phase	6980	858072	504204	41	136	4	1
Presseausweis	Presse	Ausweis	3598	345508	66751	216	51	3	1
Presseinformation	Presse	Information	10630	345508	2609751	216	67	3	2
Problembewusstsein	Problem	Bewusstsein	6004	5373837	380018	70	84	1	2
Produktionsfläche	Produktion	Fläche	2559	579419	565210	244	222	2	2
Produktionskette	Produktion	Kette	2738	579419	207479	244	139	2	4
Produktionsprozess	Produktion	Prozess	25712	579419	894542	244	193	2	3
Produktionsverhältnis	Produktion	Verhältnis	4886	579419	867130	244	142	2	3
Projektionsfläche	Projektion	Fläche	9505	39066	565210	12	222	2	2
Projektphase	Projekt	Phase	6535	2359182	504204	125	136	1	1
Protestaktion	Protest	Aktion	18799	271228	1037198	108	202	2	1
Protestzug	Protest	Zug	2051	271228	1036257	108	200	2	11
Protokollführer	Protokoll	Führer	4532	180907	173872	19	234	3	3
Prozentwert	Prozent	Wert	3265	2483161	1669571	13	240	1	5
Punktejagd	Punkt	Jagd	2185	2557207	163426	73	84	7	1
Punktestand	Punkt	Stand	6932	2557207	846433	73	195	7	6
Punktspiel	Punkt	Spiel	22649	2557207	4122168	73	403	7	6
Puppenspiel	Puppe	Spiel	4069	74549	4122168	50	403	3	6
Puzzlespiel	Puzzle	Spiel	2081	30956	4122168	6	403	1	6
Qualifikationsspiel	Qualifikation	Spiel	3333	184020	4122168	43	403	2	6
Qualitätsmangel	Qualität	Mangel	2792	1260166	382072	76	129	2	4
Quellwasser	Quell	Wasser	8806	0	2297829	14	124	2	4
Radstand	Rad	Stand	12978	450414	846433	107	195	5	6
Rasenfläche	Rasen	Fläche	15066	93429	565210	37	222	2	2
Rasselbande	Rassel	Bande	4986	2507	20429	2	54	1	3
Raststätte	Rast	Stätte	10984	38605	57679	7	97	1	1
Raubkopie	Raub	Kopie	14098	27922	200356	41	22	2	1
Reaktionsfähigkeit	Reaktion	Fähigkeit	4865	549605	691050	23	155	2	2
Rebfläche	Rebe	Fläche	5770	25434	565210	40	222	1	2
Rechenschaftsbericht	Rechenschaft	Bericht	10954	35340	1101157	3	204	1	2
Rechtsstreit	Recht	Streit	51958	1681729	287604	299	174	3	1
Reformprozess	Reform	Prozess	7353	245857	894542	185	193	1	3
Regenerationsfähigkeit	Regeneration	Fähigkeit	2292	37166	691050	11	155	2	2
Regenerationsphase	Regeneration	Phase	2157	37166	504204	11	136	2	1
Regierungschef	Regierung	Chef	48968	986482	394992	380	283	2	1
Regierungskommission	Regierung	Kommission	2640	986482	271576	380	187	2	2
Regressanspruch	Regress	Anspruch	2465	6204	1179665	3	116	1	1
Rehbock	Reh	Bock	2128	48809	108730	32	14	2	3
Reichsführer	Reich	Führer	2105	353258	173872	119	234	3	3
Reifeprozess	Reife	Prozess	3581	47456	894542	53	193	4	3
Reisezug	Reise	Zug	2064	750538	1036257	278	200	1	11
Relegationsspiel	Relegation	Spiel	6335	14635	4122168	10	403	2	6
Revolutionsführer	Revolution	Führer	2999	286062	173872	100	234	2	3
Ritterspiel	Ritter	Spiel	2365	115484	4122168	47	403	1	6
Rosenwasser	Rose	Wasser	2593	149584	2297829	101	124	2	4
Rucksack	Ruck	Sack	106764	30171	155708	2	75	1	2
Rudelführer	Rudel	Führer	3138	44019	173872	6	234	1	3
Ruhephase	Ruhe	Phase	11649	747776	504204	36	136	5	1
Ruhestand	Ruhe	Stand	80199	747776	846433	36	195	5	6
Sachargument	Sache	Argument	2755	2658027	501974	94	23	2	3
Sachbereich	Sache	Bereich	2040	2658027	3311593	94	614	2	3
Sachbezug	Sache	Bezug	3129	2658027	709321	94	55	2	3
Sachbuch	Sache	Buch	25699	2658027	3216801	94	243	2	1
Sacheinlage	Sache	Einlage	3107	2658027	67539	94	43	2	4
Sachfrage	Sache	Frage	6319	2658027	6357918	94	391	2	3
Sachgebiet	Sache	Gebiet	14001	2658027	991941	94	277	2	4
Sachgut	Sache	Gut	2027	2658027	373318	94	116	2	6
Sachinformation	Sache	Information	3582	2658027	2609751	94	67	2	2
Sachkenntnis	Sache	Kenntnis	13349	2658027	558386	94	39	2	1
Sachkompetenz	Sache	Kompetenz	4012	2658027	386246	94	34	2	2
Sachkunde	Sache	Kunde	12709	2658027	2153346	94	144	2	3
Sachlage	Sache	Lage	28747	2658027	1378162	94	188	2	5
Sachleistung	Sache	Leistung	10122	2658027	1834791	94	194	2	4
Sachmangel	Sache	Mangel	3510	2658027	382072	94	129	2	4
Sachpreis	Sache	Preis	13883	2658027	2133731	94	376	2	3
Sachregister	Sache	Register	3070	2658027	89813	94	45	2	4
Sachspende	Sache	Spende	10921	2658027	109497	94	50	2	1
Sachthema	Sache	Thema	4277	2658027	4900255	94	132	2	3
Sachunterricht	Sache	Unterricht	7106	2658027	462772	94	92	2	1
Sachversicherung	Sache	Versicherung	3039	2658027	390830	94	52	2	3
Sachverstand	Sache	Verstand	27456	2658027	184740	94	12	2	1
Sachvortrag	Sache	Vortrag	3764	2658027	618434	94	41	2	2
Säuberungsaktion	Säuberung	Aktion	2450	16501	1037198	12	202	1	1
Saisonarbeiter	Saison	Arbeiter	2262	936683	256243	62	137	2	2
Saisonspiel	Saison	Spiel	20233	936683	4122168	62	403	2	6
Salzstange	Salz	Stange	2599	232607	101757	87	46	3	2
Salzwasser	Salz	Wasser	27777	232607	2297829	87	124	3	4
Schachspiel	Schach	Spiel	9837	68977	4122168	66	403	2	6
Schachzug	Schach	Zug	13872	68977	1036257	66	200	2	11
Schadenfreude	Schaden	Freude	11487	802629	897654	66	65	1	1
Schaffensprozess	Schaffen	Prozess	2539	76602	894542	15	193	1	3
Schallquelle	Schall	Quelle	4062	33402	777720	35	103	1	3
Schattenspiel	Schatten	Spiel	4181	339432	4122168	63	403	1	6
Schauprozess	Schau	Prozess	3730	123640	894542	68	193	2	3
Schauspiel	Schau	Spiel	71545	123640	4122168	68	403	2	6
Scheidungskind	Scheidung	Kind	2732	86356	7297679	42	164	1	2
Schichtarbeiter	Schicht	Arbeiter	2152	264303	256243	28	137	4	2
Schiffsführer	Schiff	Führer	3431	683602	173872	159	234	2	3
Schirmmütze	Schirm	Mütze	2544	77315	58998	10	39	2	1
Schlafmangel	Schlaf	Mangel	5658	214275	382072	84	129	1	4
Schlaganfall	Schlag	Anfall	56140	302868	57528	66	28	7	2
Schlitzohr	Schlitz	Ohr	3472	23179	541647	3	21	2	1
Schlossgarten	Schloss	Garten	13589	504599	742100	103	168	2	1
Schlussphase	Schluss	Phase	30121	838182	504204	158	136	2	1
Schneekette	Schnee	Kette	5167	324839	207479	95	139	1	4
Schneeverhältnis	Schnee	Verhältnis	2791	324839	867130	95	142	1	3
Schnittfläche	Schnitt	Fläche	4070	242697	565210	41	222	8	2
Schnitzeljagd	Schnitzel	Jagd	7659	29267	163426	5	84	2	1
Schriftführer	Schrift	Führer	29901	429963	173872	52	234	3	3
Schriftzug	Schrift	Zug	48636	429963	1036257	52	200	3	11
Schuhwerk	Schuh	Werk	22194	403757	1354148	72	366	1	6
Schuldenstand	Schuld	Stand	6833	496468	846433	129	195	2	6
Schuldfähigkeit	Schuld	Fähigkeit	3230	496468	691050	129	155	2	2
Schuldverhältnis	Schuld	Verhältnis	3788	496468	867130	129	142	2	3
Schuldzins	Schuld	Zins	3837	496468	236648	129	36	2	1
Schulsache	Schule	Sache	2626	2328304	2658027	440	95	4	2
Schulzeugnis	Schule	Zeugnis	2044	2328304	198179	440	30	4	3
Schurwolle	Schur	Wolle	3231	3815	45903	3	15	2	3
Schutzvorschrift	Schutz	Vorschrift	2413	754917	351400	178	75	3	2
Schwächeanfall	Schwäche	Anfall	3200	266925	57528	13	28	3	2
Schwächephase	Schwäche	Phase	5212	266925	504204	13	136	3	1
Schweregrad	Schwere	Grad	10567	47945	844155	3	53	1	7
Schwierigkeitsgrad	Schwierigkeit	Grad	60453	444081	844155	2	53	1	7
Schwierigkeitsstufe	Schwierigkeit	Stufe	8378	444081	410430	2	88	1	3
Schwindelanfall	Schwindel	Anfall	2039	38923	57528	10	28	2	2
Seewasser	See	Wasser	3546	639173	2297829	174	124	2	4
Segelfläche	Segel	Fläche	2568	61120	565210	49	222	1	2
Seilzug	Seil	Zug	5782	91119	1036257	17	200	1	11
Seitenrand	Seite	Rand	4682	5508445	523473	80	98	6	2
Seitenverhältnis	Seite	Verhältnis	5679	5508445	867130	80	142	6	3
Sicherheitschef	Sicherheit	Chef	3697	1223669	394992	299	283	4	1
Sicherheitsmangel	Sicherheit	Mangel	4575	1223669	382072	299	129	4	4
Sichtverhältnis	Sicht	Verhältnis	4737	979990	867130	36	142	3	3
Sichtweise	Sicht	Weise	132749	979990	1702202	36	121	3	4
Siegeszug	Sieg	Zug	23158	843463	1036257	88	200	1	11
Sinfonieorchester	Sinfonie	Orchester	7565	25373	143304	3	63	1	1
Sogwirkung	Sog	Wirkung	3613	21791	850412	4	67	1	2
Solidaritätsaktion	Solidarität	Aktion	2390	143901	1037198	91	202	2	1
Sommerspiel	Sommer	Spiel	7812	914065	4122168	214	403	1	6
Sonnenaktivität	Sonne	Aktivität	4919	832636	608657	155	100	3	1
Sonnenallergie	Sonne	Allergie	2188	832636	99724	155	11	3	1
Sonnenbad	Sonne	Bad	9009	832636	150444	155	98	3	4
Sonnenblume	Sonne	Blume	15618	832636	248079	155	50	3	2
Sonnenbrand	Sonne	Brand	18022	832636	149191	155	71	3	2
Sonnenbrille	Sonne	Brille	41632	832636	156653	155	34	3	1
Sonnendach	Sonne	Dach	2034	832636	426860	155	89	3	1
Sonnenenergie	Sonne	Energie	25398	832636	1191333	155	30	3	2
Sonnenflecken	Sonne	Flecken	4386	832636	102000	155	11	3	1
Sonnenhof	Sonne	Hof	4905	832636	411405	155	286	3	6
Sonnenhut	Sonne	Hut	3072	832636	202409	155	49	3	3
Sonnenkönig	Sonne	König	2680	832636	494221	155	109	3	3
Sonnenlicht	Sonne	Licht	53596	832636	1203764	155	73	3	1
Sonnenmasse	Sonne	Masse	3433	832636	468284	155	108	3	3
Sonnenscheibe	Sonne	Scheibe	3155	832636	364567	155	96	3	4
Sonnenschein	Sonne	Schein	129045	832636	125940	155	75	3	4
Sonnenschirm	Sonne	Schirm	20042	832636	77315	155	22	3	2
Sonnenschutz	Sonne	Schutz	24285	832636	754917	155	198	3	3
Sonnenseite	Sonne	Seite	7279	832636	5508445	155	256	3	6
Sonnenstand	Sonne	Stand	4068	832636	846433	155	195	3	6
Sonnenstich	Sonne	Stich	2777	832636	92302	155	29	3	4
Sonnenstrahl	Sonne	Strahl	44612	832636	32182	155	27	3	3
Sonnenstrahlung	Sonne	Strahlung	7564	832636	89221	155	14	3	1
Sonnenstrom	Sonne	Strom	2955	832636	601189	155	131	3	4
Sonnensystem	Sonne	System	36294	832636	2030742	155	444	3	6
Sonnentag	Sonne	Tag	8891	832636	8129618	155	444	3	3
Sonnenterrasse	Sonne	Terrasse	10944	832636	168809	155	18	3	2
Sonnenuhr	Sonne	Uhr	8407	832636	4507590	155	63	3	2
Sonnenwärme	Sonne	Wärme	2895	832636	264202	155	17	3	2
Sonntagsspiel	Sonntag	Spiel	2471	1034874	4122168	85	403	1	6
Spannungsverhältnis	Spannung	Verhältnis	10115	435321	867130	34	142	3	3
Speisestärke	Speise	Stärke	4799	25083	294491	44	81	2	3
Spielfläche	Spiel	Fläche	10436	4122168	565210	368	222	6	2
Spielfreude	Spiel	Freude	22527	4122168	897654	368	65	6	1
Spielführer	Spiel	Führer	6105	4122168	173872	368	234	6	3
Spielphase	Spiel	Phase	2874	4122168	504204	368	136	6	1
Spielsache	Spiel	Sache	17410	4122168	2658027	368	95	6	2
Spielstand	Spiel	Stand	35537	4122168	846433	368	195	6	6
Spielsucht	Spiel	Sucht	6755	4122168	80274	368	65	6	2
Spielweise	Spiel	Weise	42351	4122168	1702202	368	121	6	4
Sportchef	Sport	Chef	4805	799441	394992	397	283	2	1
Sportspiel	Sport	Spiel	3886	799441	4122168	397	403	2	6
Sprachfähigkeit	Sprache	Fähigkeit	3203	1235871	691050	266	155	1	2
Sprachspiel	Sprache	Spiel	4226	1235871	4122168	266	403	1	6
Staatschef	Staat	Chef	18354	1550505	394992	448	283	3	1
Stabschef	Stab	Chef	3048	91960	394992	38	283	2	1
Stadthotel	Stadt	Hotel	3405	4053206	1199856	543	59	1	1
Stadtrand	Stadt	Rand	25099	4053206	523473	543	98	1	2
Stadtwerk	Stadt	Werk	107754	4053206	1354148	543	366	1	6
Stahlwerk	Stahl	Werk	9603	92356	1354148	237	366	1	6
Stammesführer	Stamm	Führer	2554	177892	173872	160	234	5	3
Stammwerk	Stamm	Werk	2247	177892	1354148	160	366	5	6
Standardwerk	Standard	Werk	24763	434157	1354148	95	366	3	6
Standfläche	Stand	Fläche	4289	846433	565210	102	222	6	2
Startphase	Start	Phase	7790	800664	504204	89	136	3	1
Stellungsspiel	Stellung	Spiel	6731	374871	4122168	6	403	6	6
Stirnlampe	Stirn	Lampe	5494	118946	185507	15	42	2	1
Stockwerk	Stock	Werk	68003	178582	1354148	39	366	3	6
Stoffhose	Stoff	Hose	2336	494224	273665	93	61	5	1
Strafprozess	Strafe	Prozess	7387	254847	894542	124	193	1	3
Strafsache	Strafe	Sache	9411	254847	2658027	124	95	1	2
Streitsache	Streit	Sache	2773	287604	2658027	43	95	1	2
Stromquelle	Strom	Quelle	6491	601189	777720	130	103	4	3
Strumpfhose	Strumpf	Hose	20535	26331	273665	13	61	1	1
Stückwerk	Stück	Werk	5265	2258927	1354148	26	366	6	6
Sucherbild	Sucher	Bild	2239	33948	5015121	2	350	2	7
Südrand	Süd	Rand	4114	121580	523473	151	98	1	2
Südstrand	Süd	Strand	2548	121580	446095	151	25	1	1
Sündenbock	Sünde	Bock	16241	181418	108730	11	14	1	3
Sündenfall	Sünde	Fall	10338	181418	4025303	11	176	1	4
Tabellenstand	Tabelle	Stand	3402	359775	846433	25	195	1	6
Tätigkeitsbericht	Tätigkeit	Bericht	8215	687433	1101157	12	204	2	2
Tagesspiegel	Tag	Spiegel	29977	8129618	361830	242	63	3	4
Tagewerk	Tag	Werk	2615	8129618	1354148	242	366	3	6
Talgdrüse	Talg	Drüse	3917	4126	13277	3	10	1	1
Tarifkommission	Tarif	Kommission	3834	208612	271576	116	187	2	2
Taschenlampe	Tasche	Lampe	36597	346451	185507	32	42	3	1
Taxistand	Taxi	Stand	3371	119936	846433	48	195	1	6
Teamchef	Team	Chef	12147	1778434	394992	32	283	1	1
Teamfähigkeit	Team	Fähigkeit	17031	1778434	691050	32	155	1	2
Teilfläche	Teil	Fläche	6798	4347552	565210	143	222	5	2
Tellerrand	Teller	Rand	30338	109619	523473	9	98	2	2
Testphase	Test	Phase	21286	660169	504204	100	136	3	1
Testspiel	Test	Spiel	37800	660169	4122168	100	403	3	6
Teufelswerk	Teufel	Werk	2417	234667	1354148	47	366	1	6
Thermostatventil	Thermostat	Ventil	2086	15549	75026	1	18	1	2
Tiefstand	Tief	Stand	4367	49449	846433	44	195	3	6
Toastbrot	Toast	Brot	5094	16571	292521	2	59	2	2
Tomatensaft	Tomate	Saft	2504	94231	103159	24	43	2	2
Tomatensuppe	Tomate	Suppe	2069	94231	103341	24	62	2	1
Torverhältnis	Tor	Verhältnis	12922	1182130	867130	106	142	4	3
Trafostation	Trafo	Station	2115	23210	398133	2	151	1	4
Trainingsspiel	Training	Spiel	4620	616702	4122168	129	403	2	6
Transformationsprozess	Transformation	Prozess	8893	59689	894542	12	193	2	3
Traubensaft	Traube	Saft	4536	54641	103159	12	43	3	2
Trauerspiel	Trauer	Spiel	10763	134379	4122168	77	403	3	6
Trauerzug	Trauer	Zug	2514	134379	1036257	77	200	3	11
Traumauto	Traum	Auto	4180	642263	1825683	152	70	2	1
Traumberuf	Traum	Beruf	9237	642263	666598	152	60	2	1
Traumbild	Traum	Bild	4071	642263	5015121	152	350	2	7
Traumfigur	Traum	Figur	2374	642263	625883	152	189	2	7
Traumfrau	Traum	Frau	10693	642263	5561566	152	243	2	3
Traumhaus	Traum	Haus	6212	642263	3860157	152	556	2	5
Trauminsel	Traum	Insel	2960	642263	819374	152	107	2	1
Traumjob	Traum	Job	9444	642263	577974	152	56	2	2
Traumland	Traum	Land	3942	642263	4274663	152	342	2	7
Traummann	Traum	Mann	6668	642263	3851499	152	564	2	3
Traumpaar	Traum	Paar	6394	642263	374486	152	99	2	2
Traumpartner	Traum	Partner	5181	642263	994184	152	103	2	3
Traumpass	Traum	Pass	2044	642263	224607	152	58	2	3
Traumprinz	Traum	Prinz	2596	642263	104155	152	14	2	1
Traumreise	Traum	Reise	6554	642263	750538	152	138	2	1
Traumschiff	Traum	Schiff	4805	642263	683602	152	128	2	2
Traumstart	Traum	Start	2365	642263	800664	152	45	2	3
Traumstrand	Traum	Strand	7148	642263	446095	152	25	2	1
Traumtor	Traum	Tor	3610	642263	1182130	152	127	2	4
Traumurlaub	Traum	Urlaub	5530	642263	681420	152	68	2	2
Traumwagen	Traum	Wagen	2386	642263	505552	152	205	2	4
Traumwetter	Traum	Wetter	2117	642263	749066	152	45	2	3
Traumziel	Traum	Ziel	4232	642263	2722548	152	122	2	3
Triebwerk	Trieb	Werk	45022	68668	1354148	37	366	5	6
Triebzug	Trieb	Zug	2244	68668	1036257	37	200	5	11
Triumphzug	Triumph	Zug	3324	51553	1036257	13	200	2	11
Turnierspiel	Turnier	Spiel	2637	370929	4122168	68	403	2	6
Übungssache	Übung	Sache	2377	461339	2658027	91	95	4	2
Uferseite	Ufer	Seite	2406	159675	5508445	50	256	1	6
Uhrwerk	Uhr	Werk	13810	4507590	1354148	35	366	2	6
Ultraschallbild	Ultraschall	Bild	2283	39863	5015121	10	350	2	7
Umbauphase	Umbau	Phase	3036	194344	504204	26	136	3	1
Umweltstiftung	Umwelt	Stiftung	3333	543127	425030	451	57	1	2
Urteilsfähigkeit	Urteil	Fähigkeit	3779	677193	691050	25	155	2	2
Vakuumpumpe	Vakuum	Pumpe	3026	30446	96459	9	26	2	1
Vereinschef	Verein	Chef	2023	1516835	394992	273	283	1	1
Verfahrensweise	Verfahren	Weise	17875	895958	1702202	65	121	5	4
Verkaufsfläche	Verkauf	Fläche	12643	425276	565210	219	222	1	2
Verkaufsstand	Verkauf	Stand	12323	425276	846433	219	195	1	6
Verkehrsfläche	Verkehr	Fläche	8403	372255	565210	382	222	4	2
